Taxar,ID,Provyteareal,Proportion_pine,Both Pine cover,Birch cover,Aspen cover,Rowan cover,Salix cover ,Oak,RASE_proportion,RASE presence,NordKoordinat,OstKoordinat,HuggnKlass,Browsing_presence,Moose pellet groups,Moose presence ,Wolf territory,Time since establishment,Small roads,Big roads,Pellet counts,Fresh only,Fresh and old ,Fresh ,Old and fresh,Old,Other ,No browsing,Total trees
2016,2.02E+11,153.94,0.045472262,7,6,0.1,1,1,0,0.013641679,1,6740770,602578,22,0,1,1,0,0,5.96157229,4447.008211,1,0,0,0,0,0,0,0,0
2012,2.01E+11,153.94,0.042224243,6.5,6,0,4,0.5,0,0.029232168,1,6612082,453366,22,0,0,0,0,0,6.165941712,379.188474,0,0,0,0,0,0,0,0,0
2004,2.00E+11,153.94,0.272833572,42,42,0,0,0,0,0,0,6568829,447207,22,0,0,0,0,0,8.113644982,2330.62781,0,0,0,0,0,0,1,1,2
2006,2.01E+11,153.94,0.071456412,11,8,0,2,3,0,0.032480187,1,6356728,384220,23,0,0,0,0,0,8.274274407,1238.647108,0,0,0,0,1,1,0,0,1
2003,2.00E+11,153.94,0.051968299,8,3,0,3,3,0,0.038976225,1,6708881,455487,22,0,0,0,0,0,8.483610423,403.488094,0,0,0,0,2,2,0,3,5
2006,2.01E+11,153.94,0.129920748,20,12,0,19,8,0,0.17539301,1,6815239,568638,22,0,0,0,0,0,10.19259097,1272.693033,0,0,0,0,0,0,0,0,0
2003,2.00E+11,153.94,0.17539301,27,0,0,0,0,0,0,0,6843869,539295,23,0,0,0,0,0,10.58615428,918.748458,0,0,0,0,0,0,0,7,7
2008,2.01E+11,153.94,0.032480187,5,3,0,2,2,0,0.02598415,1,6802246,472035,21,0,0,0,1,3,11.01118272,77.605966,0,0,0,0,0,0,3,29,32
2013,2.01E+11,153.94,0.194881123,30,22,0,2,8,0,0.064960374,1,6523816,478595,22,1,0,0,1,1,12.1301244,4510.768663,0,3,1,4,4,5,0,0,8
2004,2.00E+11,153.94,0.032480187,5,5,0,0,0,0,0,0,6488060,400644,21,0,0,0,0,0,12.13406412,292.391165,0,0,0,0,0,0,0,1,1
2007,2.01E+11,153.94,0.032480187,5,5,27,5,0,0,0.207873197,1,6793930,543413,23,0,0,0,0,0,12.3777385,4483.406142,0,0,0,0,0,0,0,0,0
2004,2.00E+11,153.94,0,0,0,0,0,0,0,0,0,6876688,357562,22,1,0,0,0,0,12.9123155,5620.035953,0,1,1,2,4,5,0,1,7
2013,2.01E+11,153.94,0.016240094,2.5,2,2,0.5,0.5,0,0.019488112,1,6808415,603193,22,0,0,0,0,0,13.96048765,942.896326,0,0,0,0,2,2,1,0,3
2008,2.01E+11,153.94,0.032480187,5,3,0,0,2,0,0.012992075,1,6617479,539226,22,1,0,0,1,5,14.34172501,610.215251,0,2,0,2,24,24,2,3,31
2014,2.01E+11,153.94,0.012992075,2,2,0,1,0,0,0.006496037,1,6638621,549467,23,0,0,0,1,5,14.86786086,2613.067176,0,0,0,0,2,2,0,4,6
2012,2.01E+11,153.94,0.224113291,34.5,34,0,0,0.5,0,0.003248019,1,6766930,487476,23,0,2,1,1,5,15.08631555,5926.192693,2,0,6,6,7,13,0,1,14
2012,2.01E+11,153.94,0.038976225,6,6,0.5,0.5,0,0,0.006496037,1,6788428,526677,21,0,1,1,1,8,16.36175788,3245.457154,1,0,0,0,3,3,3,2,8
2005,2.01E+11,153.94,0.285825646,44,42,0,2,2,0,0.02598415,1,6663078,490486,22,0,0,0,1,7,16.69283206,4302.486242,0,0,0,0,0,0,0,0,0
2007,2.01E+11,153.94,0.012992075,2,2,0,2,0,0,0.012992075,1,6612791,445666,23,0,0,0,0,0,17.95620261,1777.236311,0,0,0,0,2,2,1,3,6
2012,2.01E+11,153.94,0.090944524,14,14,0,0,0,0,0,0,6761666,424568,22,0,0,0,1,1,18.55697713,8563.117891,0,0,0,0,3,3,2,2,7
2009,2.01E+11,153.94,0.064960374,10,8,0,0,2,0,0.012992075,1,6897879,525826,22,0,0,0,0,0,19.29722333,4001.242931,0,0,0,0,0,0,4,6,10
2016,2.02E+11,153.94,0.097440561,15,15,2,0,0,0,0.012992075,1,6568743,508606,23,0,0,0,0,0,19.7617267,218.129722,0,0,0,0,2,2,0,4,6
2013,2.01E+11,153.94,0.038976225,6,6,0,0,0,0,0,0,6809725,469903,22,0,0,0,0,0,19.94755534,4365.072384,0,0,0,0,0,0,2,1,3
2007,2.01E+11,153.94,0.077952449,12,12,0,2,0,0,0.012992075,1,6616018,501056,23,0,2,1,0,0,20.27198582,741.186976,2,0,0,0,3,3,0,1,4
2007,2.01E+11,153.94,0.272833572,42,42,0,2,0,0,0.012992075,1,6613815,447151,22,0,3,1,0,0,20.72705012,1964.656812,3,0,13,13,0,13,0,0,13
