Taxar,ID_analysis,Provyteareal,Both Pine cover,Pine_proportion,Birch cover,Aspen cover,Rowan cover,Salix cover ,Oak,RASE_proportion,RASE cover,RASE presence,NordKoordinat,OstKoordinat,Forest_class,HuggnKlass,ViktﾄlgSpillh,Moose pellet groups,Moose presence ,Wolf territory,Time since establishment,Small,Small roads,Big roads,Pellet counts,Inventetad 舁gspillningarea m2,Viktad舁gspillniningsAreal(ha)
2012,2.01241E+11,153.94,1,0.006496037,0.5,0,0,0.5,0,0.003248019,0.5,1,6523868,336051,4,42,0,0,0,0,0,0.0001,0.129415687,1158.231694,0,38.48,2066.524444
2014,2.01442E+11,119.2,0.2,0.001677852,0.1,0.1,2,0.1,0.1,0.000161873,0.019295302,1,6419657,334125,4,41,0,0,0,0,0,0.0007,0.682926888,517.698421,0,37.68,2734.274827
2009,2.0093E+11,120.55,0,0,0,9,0,0,0,0.00061931,0.074657818,1,6725195,505970,4,41,0,0,0,0,0,0.001,1.03061384,1243.953273,0,38,4461.959901
2006,2.00641E+11,153.94,4,0.02598415,2,0,0,2,0,0.012992075,2,1,6355929,384229,3,31,1311421.602,2,1,0,0,0.0014,1.374726722,602.281622,2,38.48,2523.175163
2010,2.01041E+11,153.94,7,0.045472262,5,0,0,2,0,0.012992075,2,1,6522658,468398,3,32,0,0,0,0,0,0.0017,1.747978111,4840.996819,0,38.48,3356.121739
2006,2.00642E+11,96.52,12,0.124326564,7,0,0,5,0,0.000536705,0.051802735,1,6571706,341665,4,41,0,0,0,0,0,0.0017,1.748580487,2001.408452,0,38.17,3074.814373
2016,2.0163E+11,153.94,0,0,0,0,0,0,0,0,0,0,6711581,554524,4,41,0,0,0,1,1,0.0019,1.921709429,117.688438,0,38.48,2926.151067
2007,2.00742E+11,153.94,0,0,0,0,3,0,0,0.019488112,3,1,6624985,481355,4,42,0,0,0,0,0,0.0024,2.441244233,2925.930012,0,38.48,2594.648739
2005,2.0053E+11,153.94,5,0.032480187,3,0,2,2,0,0.02598415,4,1,6600965,335860,3,32,0,0,0,0,0,0.0026,2.585775847,1378.182272,0,38.48,3060.892231
2014,2.0143E+11,153.94,5,0.032480187,3,3,2,2,0,0.045472262,7,1,6733258,545434,4,41,0,0,0,0,0,0.0026,2.587012493,394.132477,0,38.48,2620.433791
2006,2.00631E+11,119.2,21.5,0.180369128,21,0,0.5,0.5,0,7.04E-05,0.008389262,1,6822130,439102,1,11,0,0,0,0,0,0.0027,2.714849723,17693.53793,0,37.68,2969.386243
2005,2.00531E+11,153.94,0,0,0,0,0,0,0,0,0,0,6829219,527982,3,33,0,0,0,0,0,0.0028,2.784334774,1373.14073,0,38.48,3097.838947
2004,2.00431E+11,153.94,0,0,0,0,0,0,0,0,0,0,6788094,435024,4,42,0,0,0,0,0,0.0028,2.843016241,355.840323,0,38.48,2763.499388
2004,2.00441E+11,123.22,6.5,0.052751177,6,0,0,0.5,0,3.29E-05,0.004057783,1,6362653,378555,4,42,0,0,0,0,0,0.0031,3.053780817,931.409397,0,38.45,2520.497721
2016,2.0165E+11,153.94,0.1,0.000649604,0,0,0,0.1,0,0.000649604,0.1,1,6548436,293513,4,41,0,0,0,1,6,0.0034,3.362382409,1420.484603,0,38.48,1866.62675
2005,2.0053E+11,153.94,0,0,0,0,0,0,0,0,0,0,6644783,526753,4,41,0,0,0,0,0,0.0034,3.379542068,2467.206499,0,38.48,2868.775556
2012,2.01241E+11,153.94,50.5,0.32804989,50,0,0.5,0.5,0.5,0.009744056,1.5,1,6512871,485305,2,23,0,0,0,0,0,0.0037,3.725790514,2449.905649,0,38.48,3027.090196
2013,2.0133E+11,153.94,0.5,0.003248019,0.5,0,6,0,0,0.038976225,6,1,6837382,618593,3,33,0,0,0,0,0,0.0041,4.075488385,2017.341849,0,38.48,3176.514222
2013,2.0133E+11,153.94,12.5,0.081200468,8.5,0.5,12,4,0,0.107184617,16.5,1,6866038,544164,3,33,0,0,0,1,2,0.0041,4.087598903,1702.736183,0,38.48,3176.514222
2008,2.00841E+11,121.3,7,0.057708162,2,0.5,0.5,5,0,0.000407783,0.049464138,1,6525465,468369,3,31,0,0,0,0,0,0.0041,4.120648198,3144.973868,0,38.13,3557.613987
2003,2.00342E+11,153.94,5,0.032480187,5,0,0,2,0,0.012992075,2,1,6629194,499297,3,31,0,0,0,1,1,0.0041,4.125965497,2188.551685,0,38.48,2940.601905
2010,2.01041E+11,153.94,6,0.038976225,6,0,2,0,0,0.012992075,2,1,6378362,405350,4,42,0,0,0,0,0,0.0042,4.230247136,1624.302314,0,38.48,4498.394667
2009,2.00941E+11,153.94,0,0,0,0,0,0,0,0,0,0,6396586,357160,4,41,0,0,0,0,0,0.0043,4.299476495,1642.118267,0,38.48,2646.11451
2011,2.0114E+11,153.94,0,0,0,0.5,0.5,0,0,0.006496037,1,1,6370416,376664,4,42,0,0,0,0,0,0.0043,4.339813128,1302.999918,0,38.48,2060.333435
2012,2.01242E+11,153.94,0.5,0.003248019,0.5,0.5,0,0,0,0.003248019,0.5,1,6638943,560561,3,33,0,0,0,1,3,0.0044,4.4352217,596.122157,0,38.48,2148.308571
2009,2.0093E+11,153.94,0,0,0,0,0,0,0,0,0,0,6644882,518957,3,31,0,0,0,1,2,0.0045,4.512510535,4135.668102,0,38.48,4518.3215
2007,2.0073E+11,153.94,14,0.090944524,6,5,5,8,0,0.116928674,18,1,6663001,505034,3,31,0,0,0,0,0,0.0045,4.530389415,200.556611,0,38.48,3012.214333
2015,2.01531E+11,120.56,0.2,0.001658925,0.1,0,6,0.1,0,0.000419685,0.050597213,1,6636457,466978,4,41,0,0,0,1,10,0.005,4.989570718,988.930783,0,38,2498.383773
