"","Forest_class","Wolf.territory","Moose.presence","Rase.presence","Small.roads","Big.roads","Pine.proportion.100","Pine.proportion","Time.since.establishment","Taxar","Pellet.counts"
"1",3,0,0,0,84,1656,0.6496037,0.03,0,2009,0
"2",4,0,0,0,403,713,0.1677852,0,0,2005,0
"3",4,0,0,0,644,3237,0,0,13,2010,0
"4",4,1,0,0,295,4542,2.598415,0.18,0,2005,0
"5",2,0,0,1,82,6010,4.5472262,0,0,2005,0
"6",4,1,0,1,233,951,12.4326564,0,0,2011,0
"7",3,0,0,0,689,1981,0,0,4,2008,0
"8",3,1,0,0,97,726,0,0,5,2015,0
"9",4,1,0,0,263,3370,3.2480187,0,0,2004,1
"10",4,1,0,0,9,1902,3.2480187,0.04,0,2007,0
"11",4,1,0,0,78,4410,18.0369128,0,0,2008,0
"12",4,1,1,1,335,2796,0,0,0,2011,0
"13",3,1,0,1,182,2324,0,0.04,0,2014,0
"14",2,1,0,1,221,1407,5.2751177,0.02,0,2009,0
"15",3,0,0,1,275,4263,0.0649604,0,0,2006,0
"16",2,0,0,0,61,127,0,0.05,0,2013,0
"17",3,0,0,0,201,2436,32.804989,0.06,0,2007,0
"18",3,0,0,0,785,2162,0.3248019,0.02,0,2012,1
"19",3,0,0,1,116,1397,8.1200468,0.11,0,2004,0
"20",3,0,0,1,150,3478,5.7708162,0.01,12,2012,0
"21",3,1,0,1,122,3365,3.2480187,0.06,5,2005,0
"22",3,0,0,1,430,447,3.8976225,0,4,2005,0
"23",3,0,0,1,68,1587,0,0.05,0,2011,0
"24",3,1,0,0,358,1148,0,0.02,9,2008,0
"25",3,0,1,0,476,5372,0.3248019,0.13,0,2010,0
"26",2,1,0,1,268,2991,0,0.12,0,2016,0
"27",4,0,0,1,167,1320,9.0944524,0,9,2011,0
"28",2,1,0,0,334,3512,0.1658925,0,6,2012,0
"29",2,0,0,0,99,762,3.2480187,0,6,2004,0
"30",3,1,0,1,171,1459,0,0,0,2004,0
"31",4,0,0,0,254,3755,1.6240094,0.07,0,2013,0
"32",3,1,0,0,408,3139,1.9488112,0.14,0,2007,0
"33",3,0,0,1,205,386,0.3248019,0.01,0,2007,0
"34",4,0,0,0,518,3668,0,0,0,2009,0
"35",3,1,0,0,128,743,0,0.09,0,2013,0
"36",2,1,0,1,428,4199,3.2480187,0,0,2003,0
"37",3,0,0,1,275,1782,5.1968299,0,9,2005,0
"38",3,0,1,1,245,824,2.2736131,0,0,2011,3
"39",1,1,1,0,75,697,4.5472262,0.01,0,2013,0
"40",2,0,0,1,120,3507,5.1968299,0,8,2007,0
"41",4,1,0,1,1042,524,0,0.05,0,2015,1
"42",4,1,1,0,880,1504,1.2992075,0.02,1,2006,0
"43",3,0,0,1,486,868,4.2224243,0.01,2,2009,0
"44",4,0,0,0,630,277,4.5472262,0.06,0,2015,0
"45",3,1,0,0,518,2253,18.2615047,0,7,2008,0
"46",4,1,0,1,462,2187,0.9392077,0.03,0,2009,0
"47",4,0,0,0,254,2178,1.9488112,0,6,2005,0
"48",4,1,0,0,143,1472,0.3248019,0,0,2004,0
"49",3,1,0,0,156,842,5.1968299,0.03,0,2004,0
